Original Species	Category
Globisporangium nunn	Fungi
Bipolaris maydis	Fungi
Aspergillus fumigatus	Fungi
Trichoderma harzianum	Fungi
Pseudogymnoascus destructans	Fungi
Penicillium aurantiogriseum	Fungi
Olea	Plants
Ustilaginoidea virens	Fungi
Cytospora ceratosperma	Fungi
Botrytis cinerea	Fungi
Gongylopus adiposus	Fungi
Diplodia seriata	Fungi
Diaporthe helianthi	Fungi
Aspergillus niger	Fungi
Aspergillus creber	Fungi
Beauveria bassiana	Fungi
Fusarium mangiferae	Fungi
Nigrospora sphaerica	Fungi
Culicidae	Insects (Mosquitoes)
Aves	Birds
Rattus	Mammals (Rodents)
Colletotrichum liriopes	Fungi
Erysiphe necator	Fungi
Alternaria tenuissima	Fungi
Fusarium sambucinum	Fungi
Fusarium concentricum	Fungi
Metarhizium brunneum	Fungi
Aspergillus nidulans	Fungi
Macrophomina phaseolina	Fungi
Fusarium equiseti	Fungi
Neurospora discreta	Fungi
Aspergillus lentulus	Fungi
Caloscypha fulgens	Fungi
Lactarius rufus	Fungi
Plasmopara viticola	Fungi
Pseudocercospora eumusae	Fungi
Monilinia fructigena	Fungi
Sarcosphaera coronaria	Fungi
Auricularia heimuer	Fungi
Fusarium oxysporum	Fungi
Homona magnanima	Insects (Moths)
Culex	Insects (Mosquitoes)
Colletotrichum gloeosporioides	Fungi
Aspergillus flavus	Fungi
Bipolaris oryzae	Fungi
Pyricularia oryzae	Fungi
Metarhizium flavoviride	Fungi
Delitschia confertaspora	Fungi
Colletotrichum eremochloae	Fungi
Penicillium digitatum	Fungi
Pyricularia grisea	Fungi
Thelebolus microsporus	Fungi
Cryphonectria parasitica	Fungi
Gaeumannomyces tritici	Fungi
Penicillium brasilianum	Fungi
Fusarium graminearum	Fungi
Exserohilum turcicum	Fungi
Aspergillus ellipticus	Fungi
Athelia rolfsii	Fungi
Penicillium brevicompactum	Fungi
Nigrospora oryzae	Fungi
Sclerotinia sclerotiorum	Fungi
Eidolon helvum	Mammals (Bats)
Talaromyces marneffei	Fungi
Homo sapiens	Mammals (Primates)
Entoleuca sp.	Fungi
Podosphaera prunicola	Fungi
Rosellinia necatrix	Fungi
Cryptosporidium parvum	Protozoa
Sipuncula	Invertebrates
Astacoidea	Crustaceans
Coleoptera	Insects (Beetles)
Hexapoda	Insects
Neoconocephalus	Insects (Katydids)
Fusarium poae	Fungi
Zygosaccharomyces bailii	Fungi
Colletotrichum truncatum	Fungi
Equus caballus	Mammals (Horses)
Fusarium vanettenii	Fungi
Gremmeniella abietina	Fungi
Valsa cypri	Fungi
Diaporthe longicolla	Fungi
Verticillium albo-atrum	Fungi
Botryosphaeria dothidea	Fungi
Cytospora sacchari	Fungi
Colletotrichum acutatum	Fungi
Trifolium repens	Plants
Medicago lupulina	Plants
Rhizoctonia solani	Fungi
Vitis vinifera	Plants
Capsicum annuum	Plants
Heterobasidion abietinum	Fungi
Beta vulgaris	Plants
Daucus carota	Plants
Chondrostereum purpureum	Fungi
Primula malacoides	Plants
Cryptosporidium sp.	Protozoa
Aspergillus ochraceoroseus	Fungi
Vicia faba	Plants
Pleurotus ostreatus	Fungi
Raphanus sativus	Plants
Helicobasidium mompa	Fungi
Discula destructiva	Fungi
Aedes aegypti	Insects (Mosquitoes)
Aedes sp.	Insects (Mosquitoes)
Pentaneurella katterjokki	Insects (Midges)
Anser anser domesticus	Birds
Aedes albopictus	Insects (Mosquitoes)
Aedes vexans	Insects (Mosquitoes)
Anatidae	Birds
Ochlerotatus scapularis	Insects (Mosquitoes)
Cynopterus brachyotis	Mammals (Bats)
Gallus gallus	Birds
Pteropus tonganus	Mammals (Bats)
Bos taurus	Mammals (Cattle)
Haemaphysalis longicornis	Arachnids (Ticks)
Petroica australis	Birds
Emberiza spodocephala	Birds
Ramphastos	Birds
Turdus hortulorum	Birds
Eucalyptus urophylla	Plants
Sus scrofa domesticus	Mammals (Pigs)
Vochysia rufa	Plants
Byrsonima crassifolia	Plants
Citrus	Plants
Carnegiea gigantea	Plants
Poaceae	Plants
Macroptilium	Plants
Avena byzantina	Plants
Salicornia perennis	Plants
Passiflora edulis	Plants
Apocynaceae	Plants
Lebeckia	Plants
Asparagus	Plants
Cynodon	Plants
Austrosimulium australense	Insects (Black flies)
Metazoa	Animals
Melanogrammus aeglefinus	Fish
Hydrochoerus hydrochaeris	Mammals (Rodents)
Gopherus agassizii	Reptiles
Romalea microptera	Insects (Grasshoppers)
Segestria pacifica	Arachnids (Spiders)
Cybaeus signifer	Arachnids (Spiders)
